date,exception_type,service_id
20190901,2,87_SUN:L
20190902,2,87_WKD
20190902,2,87_WKD:G
20190902,2,87_WKD:L#6
20190902,2,87_WKD:S
20190902,2,87_WKD:S#6
20190902,1,87_HOL
20191127,2,87_WKD:L#6
20191128,2,87_WKD
20191128,2,87_WKD:G
20191128,2,87_WKD:L#6
20191128,2,87_WKD:S
20191128,2,87_WKD:S#6
20191128,1,87_HOL
20191129,2,87_WKD
20191129,2,87_WKD:G
20191129,2,87_WKD:L=6
20191129,2,87_WKD:S
20191129,2,87_WKD:S=6
20191129,1,87_MWK
20191129,1,87_MWK:R
20191130,2,87_SAT:S
20191130,2,87_SAT:L
20191130,1,87_SAT:R
20191219,2,88_WKD:L#6
20191220,2,88_WKD:G
20191220,2,88_WKD:L=6
20191220,2,88_WKD:S
20191220,2,88_WKD:S=6
20191220,1,88_WKD:R
20191221,2,88_SAT:L
20191221,2,88_SAT:S
20191221,1,88_SAT:R
20191222,2,88_SUN:L
20191222,2,88_SUN:S
20191222,1,88_SUN:R
20191223,2,88_WKD:G
20191223,2,88_WKD:L#6
20191223,2,88_WKD:S
20191223,2,88_WKD:S#6
20191223,1,88_WKD:R
20191224,2,88_WKD
20191224,2,88_WKD:G
20191224,2,88_WKD:L#6
20191224,2,88_WKD:S
20191224,2,88_WKD:S#6
20191224,1,88_D24
20191225,2,88_WKD
20191225,2,88_WKD:G
20191225,2,88_WKD:L#6
20191225,2,88_WKD:S
20191225,2,88_WKD:S#6
20191225,1,88_HOL
20191226,2,88_WKD:G
20191226,2,88_WKD:L#6
20191226,2,88_WKD:S
20191226,2,88_WKD:S#6
20191226,1,88_WKD:R
20191227,2,88_WKD:G
20191227,2,88_WKD:L=6
20191227,2,88_WKD:S
20191227,2,88_WKD:S=6
20191227,1,88_WKD:R
20191228,2,88_SAT:L
20191228,2,88_SAT:S
20191228,1,88_SAT:R
20191229,2,88_SUN:L
20191229,2,88_SUN:S
20191229,1,88_SUN:R
20191230,2,88_WKD:G
20191230,2,88_WKD:L#6
20191230,2,88_WKD:S
20191230,2,88_WKD:S#6
20191230,1,88_WKD:R
20191231,2,88_WKD
20191231,2,88_WKD:G
20191231,2,88_WKD:L#6
20191231,2,88_WKD:S
20191231,2,88_WKD:S#6
20191231,1,88_D31
20200101,2,88_WKD
20200101,2,88_WKD:G
20200101,2,88_WKD:L#6
20200101,2,88_WKD:S
20200101,2,88_WKD:S#6
20200101,1,88_HOL
20200102,2,88_WKD:G
20200102,2,88_WKD:L#6
20200102,2,88_WKD:S
20200102,2,88_WKD:S#6
20200102,1,88_WKD:R
20200103,2,88_WKD:G
20200103,2,88_WKD:L=6
20200103,2,88_WKD:S
20200103,2,88_WKD:S=6
20200103,1,88_WKD:R
20200104,2,88_SAT:L
20200104,2,88_SAT:S
20200104,1,88_SAT:R
20200105,2,88_SUN:L
20200105,2,88_SUN:S
20200105,1,88_SUN:R
20200106,2,88_WKD:G
20200106,2,88_WKD:L#6
20200106,2,88_WKD:S
20200106,2,88_WKD:S#6
20200106,1,88_WKD:R
20200107,2,88_WKD:G
20200107,2,88_WKD:L#6
20200107,2,88_WKD:S
20200107,2,88_WKD:S#6
20200107,1,88_WKD:R
20200108,2,88_WKD:G
20200108,2,88_WKD:L#6
20200108,2,88_WKD:S
20200108,2,88_WKD:S#6
20200108,1,88_WKD:R
20200109,2,88_WKD:G
20200109,2,88_WKD:L#6
20200109,2,88_WKD:S
20200109,2,88_WKD:S#6
20200109,1,88_WKD:R
20200110,2,88_WKD:G
20200110,2,88_WKD:L=6
20200110,2,88_WKD:S
20200110,2,88_WKD:S=6
20200110,1,88_WKD:R
20200111,2,88_SAT:L
20200111,2,88_SAT:S
20200111,1,88_SAT:R
20200112,2,88_SUN:L
20200112,2,88_SUN:S
20200112,1,88_SUN:R
20200113,2,88_WKD:G
20200113,2,88_WKD:L#6
20200113,2,88_WKD:S
20200113,2,88_WKD:S#6
20200113,1,88_WKD:R
20200114,2,88_WKD:G
20200114,2,88_WKD:L#6
20200114,2,88_WKD:S
20200114,2,88_WKD:S#6
20200114,1,88_WKD:R
20200115,2,88_WKD:G
20200115,2,88_WKD:L#6
20200115,2,88_WKD:S
20200115,2,88_WKD:S#6
20200115,1,88_WKD:R
20200116,2,88_WKD:G
20200116,2,88_WKD:L#6
20200116,2,88_WKD:S
20200116,2,88_WKD:S#6
20200116,1,88_WKD:R
20200117,2,88_WKD:G
20200117,2,88_WKD:L=6
20200117,2,88_WKD:S
20200117,2,88_WKD:S=6
20200117,1,88_WKD:R
20200118,2,88_SAT:L
20200118,2,88_SAT:S
20200118,1,88_SAT:R
20200119,2,88_SUN:L
20200120,2,88_WKD
20200120,2,88_WKD:G
20200120,2,88_WKD:L#6
20200120,2,88_WKD:S
20200120,2,88_WKD:S#6
20200120,1,88_MWK
20200120,1,88_MWK:R
